"","ObsID","TransactionYear","HouseAge","Distance2MRT","NumConvenStores","Latitude","Longitude","PriceUnitArea","house_age_group","nearest_MRT_distance_group"
"208",208,2013,38.5,665.0636,3,24.97503,121.53692,34.2,"> 20","500-1000"
"209",209,2012,11.5,1360.139,1,24.95204,121.54842,26.2,"10 to 20","1000-2000"
"210",210,2012,34.8,175.6294,8,24.97347,121.54271,40.9,"> 20","0-500"
"211",211,2013,5.2,390.5684,5,24.97937,121.54245,52.2,"5 to 10","0-500"
"212",212,2013,0,274.0144,1,24.9748,121.53059,43.5,"0 to 5","0-500"
"213",213,2013,17.6,1805.665,2,24.98672,121.52091,31.1,"10 to 20","1000-2000"
"214",214,2013,6.2,90.45606,9,24.97433,121.5431,58,"5 to 10","0-500"
"215",215,2013,18.1,1783.18,3,24.96731,121.51486,20.9,"10 to 20","1000-2000"
"216",216,2013,19.2,383.7129,8,24.972,121.54477,48.1,"10 to 20","0-500"
"217",217,2013,37.8,590.9292,1,24.97153,121.53559,39.7,"> 20","500-1000"
"218",218,2012,28,372.6242,6,24.97838,121.54119,40.8,"> 20","0-500"
"219",219,2013,13.6,492.2313,5,24.96515,121.53737,43.8,"10 to 20","0-500"
"220",220,2012,29.3,529.7771,8,24.98102,121.53655,40.2,"> 20","500-1000"
"221",221,2013,37.2,186.5101,9,24.97703,121.54265,78.3,"> 20","0-500"
"222",222,2013,9,1402.016,0,24.98569,121.5276,38.5,"5 to 10","1000-2000"
"223",223,2013,30.6,431.1114,10,24.98123,121.53743,48.5,"> 20","0-500"
"224",224,2013,9.1,1402.016,0,24.98569,121.5276,42.3,"5 to 10","1000-2000"
"225",225,2013,34.5,324.9419,6,24.97814,121.5417,46,"> 20","0-500"
"226",226,2013,1.1,193.5845,6,24.96571,121.54089,49,"0 to 5","0-500"
"227",227,2013,16.5,4082.015,0,24.94155,121.50381,12.8,"10 to 20","> 2000"
"228",228,2012,32.4,265.0609,8,24.98059,121.53986,40.2,"> 20","0-500"
"229",229,2013,11.9,3171.329,0,25.00115,121.51776,46.6,"10 to 20","> 2000"
"230",230,2013,31,1156.412,0,24.9489,121.53095,19,"> 20","1000-2000"
"231",231,2013,4,2147.376,3,24.96299,121.51284,33.4,"0 to 5","> 2000"
"232",232,2012,16.2,4074.736,0,24.94235,121.50357,14.7,"10 to 20","> 2000"
"233",233,2012,27.1,4412.765,1,24.95032,121.49587,17.4,"> 20","> 2000"
"234",234,2013,39.7,333.3679,9,24.98016,121.53932,32.4,"> 20","0-500"
"235",235,2013,8,2216.612,4,24.96007,121.51361,23.9,"5 to 10","> 2000"
"236",236,2012,12.9,250.631,7,24.96606,121.54297,39.3,"10 to 20","0-500"
"237",237,2013,3.6,373.8389,10,24.98322,121.53765,61.9,"0 to 5","0-500"
"238",238,2013,13,732.8528,0,24.97668,121.52518,39,"10 to 20","500-1000"
"239",239,2013,12.8,732.8528,0,24.97668,121.52518,40.6,"10 to 20","500-1000"
"240",240,2013,18.1,837.7233,0,24.96334,121.54767,29.7,"10 to 20","500-1000"
"241",241,2013,11,1712.632,2,24.96412,121.5167,28.8,"10 to 20","1000-2000"
"242",242,2013,13.7,250.631,7,24.96606,121.54297,41.4,"10 to 20","0-500"
"243",243,2012,2,2077.39,3,24.96357,121.51329,33.4,"0 to 5","> 2000"
"244",244,2013,32.8,204.1705,8,24.98236,121.53923,48.2,"> 20","0-500"
"245",245,2013,4.8,1559.827,3,24.97213,121.51627,21.7,"0 to 5","1000-2000"
"246",246,2013,7.5,639.6198,5,24.97258,121.54814,40.8,"5 to 10","500-1000"
"247",247,2013,16.4,389.8219,6,24.96412,121.54273,40.6,"10 to 20","0-500"
"248",248,2013,21.7,1055.067,0,24.96211,121.54928,23.1,"> 20","1000-2000"
"249",249,2013,19,1009.235,0,24.96357,121.54951,22.3,"10 to 20","1000-2000"
"250",250,2012,18,6306.153,1,24.95743,121.47516,15,"10 to 20","> 2000"
"251",251,2013,39.2,424.7132,7,24.97429,121.53917,30,"> 20","0-500"
"252",252,2012,31.7,1159.454,0,24.9496,121.53018,13.8,"> 20","1000-2000"
"253",253,2012,5.9,90.45606,9,24.97433,121.5431,52.7,"5 to 10","0-500"
"254",254,2012,30.4,1735.595,2,24.96464,121.51623,25.9,"> 20","1000-2000"
"255",255,2012,1.1,329.9747,5,24.98254,121.54395,51.8,"0 to 5","0-500"
"256",256,2013,31.5,5512.038,1,24.95095,121.48458,17.4,"> 20","> 2000"
"257",257,2012,14.6,339.2289,1,24.97519,121.53151,26.5,"10 to 20","0-500"
"258",258,2013,17.3,444.1334,1,24.97501,121.5273,43.9,"10 to 20","0-500"
"259",259,2013,0,292.9978,6,24.97744,121.54458,63.3,"0 to 5","0-500"
"260",260,2013,17.7,837.7233,0,24.96334,121.54767,28.8,"10 to 20","500-1000"
"261",261,2013,17,1485.097,4,24.97073,121.517,30.7,"10 to 20","1000-2000"
"262",262,2013,16.2,2288.011,3,24.95885,121.51359,24.4,"10 to 20","> 2000"
"263",263,2012,15.9,289.3248,5,24.98203,121.54348,53,"10 to 20","0-500"
"264",264,2013,3.9,2147.376,3,24.96299,121.51284,31.7,"0 to 5","> 2000"
"265",265,2013,32.6,493.657,7,24.96968,121.54522,40.6,"> 20","0-500"
"266",266,2012,15.7,815.9314,4,24.97886,121.53464,38.1,"10 to 20","500-1000"
"267",267,2013,17.8,1783.18,3,24.96731,121.51486,23.7,"10 to 20","1000-2000"
"268",268,2012,34.7,482.7581,5,24.97433,121.53863,41.1,"> 20","0-500"
"269",269,2013,17.2,390.5684,5,24.97937,121.54245,40.1,"10 to 20","0-500"
"270",270,2013,17.6,837.7233,0,24.96334,121.54767,23,"10 to 20","500-1000"
"271",271,2013,10.8,252.5822,1,24.9746,121.53046,117.5,"10 to 20","0-500"
"272",272,2012,17.7,451.6419,8,24.96945,121.5449,26.5,"10 to 20","0-500"
"273",273,2012,13,492.2313,5,24.96515,121.53737,40.5,"10 to 20","0-500"
"274",274,2013,13.2,170.1289,1,24.97371,121.52984,29.3,"10 to 20","0-500"
"275",275,2013,27.5,394.0173,7,24.97305,121.53994,41,"> 20","0-500"
"276",276,2012,1.5,23.38284,7,24.96772,121.54102,49.7,"0 to 5","0-500"
"277",277,2013,19.1,461.1016,5,24.95425,121.5399,34,"10 to 20","0-500"
"278",278,2013,21.2,2185.128,3,24.96322,121.51237,27.7,"> 20","> 2000"
"279",279,2012,0,208.3905,6,24.95618,121.53844,44,"0 to 5","0-500"
"280",280,2013,2.6,1554.25,3,24.97026,121.51642,31.1,"0 to 5","1000-2000"
"281",281,2013,2.3,184.3302,6,24.96581,121.54086,45.4,"0 to 5","0-500"
"282",282,2013,4.7,387.7721,9,24.98118,121.53788,44.8,"0 to 5","0-500"
"283",283,2012,2,1455.798,1,24.9512,121.549,25.6,"0 to 5","1000-2000"
"284",284,2013,33.5,1978.671,2,24.98674,121.51844,23.5,"> 20","1000-2000"
"285",285,2012,15,383.2805,7,24.96735,121.54464,34.4,"10 to 20","0-500"
"286",286,2013,30.1,718.2937,3,24.97509,121.53644,55.3,"> 20","500-1000"
"287",287,2012,5.9,90.45606,9,24.97433,121.5431,56.3,"5 to 10","0-500"
"288",288,2013,19.2,461.1016,5,24.95425,121.5399,32.9,"10 to 20","0-500"
"289",289,2013,16.6,323.6912,6,24.97841,121.5428,51,"10 to 20","0-500"
"290",290,2013,13.9,289.3248,5,24.98203,121.54348,44.5,"10 to 20","0-500"
"291",291,2013,37.7,490.3446,0,24.97217,121.53471,37,"> 20","0-500"
"292",292,2012,3.4,56.47425,7,24.95744,121.53711,54.4,"0 to 5","0-500"
"293",293,2013,17.5,395.6747,5,24.95674,121.534,24.5,"10 to 20","0-500"
"294",294,2012,12.6,383.2805,7,24.96735,121.54464,42.5,"10 to 20","0-500"
"295",295,2013,26.4,335.5273,6,24.9796,121.5414,38.1,"> 20","0-500"
"296",296,2013,18.2,2179.59,3,24.96299,121.51252,21.8,"10 to 20","> 2000"
"297",297,2012,12.5,1144.436,4,24.99176,121.53456,34.1,"10 to 20","1000-2000"
"298",298,2012,34.9,567.0349,4,24.97003,121.5458,28.5,"> 20","500-1000"
"299",299,2013,16.7,4082.015,0,24.94155,121.50381,16.7,"10 to 20","> 2000"
"300",300,2013,33.2,121.7262,10,24.98178,121.54059,46.1,"> 20","0-500"
"301",301,2013,2.5,156.2442,4,24.96696,121.53992,36.9,"0 to 5","0-500"
"302",302,2012,38,461.7848,0,24.97229,121.53445,35.7,"> 20","0-500"
"303",303,2013,16.5,2288.011,3,24.95885,121.51359,23.2,"10 to 20","> 2000"
"304",304,2013,38.3,439.7105,0,24.97161,121.53423,38.4,"> 20","0-500"
"305",305,2013,20,1626.083,3,24.96622,121.51668,29.4,"10 to 20","1000-2000"
"306",306,2013,16.2,289.3248,5,24.98203,121.54348,55,"10 to 20","0-500"
"307",307,2013,14.4,169.9803,1,24.97369,121.52979,50.2,"10 to 20","0-500"
"308",308,2012,10.3,3079.89,0,24.9546,121.56627,24.7,"10 to 20","> 2000"
"309",309,2013,16.4,289.3248,5,24.98203,121.54348,53,"10 to 20","0-500"
"310",310,2013,30.3,1264.73,0,24.94883,121.52954,19.1,"> 20","1000-2000"
"311",311,2013,16.4,1643.499,2,24.95394,121.55174,24.7,"10 to 20","1000-2000"
"312",312,2013,21.3,537.7971,4,24.97425,121.53814,42.2,"> 20","500-1000"
"313",313,2013,35.4,318.5292,9,24.97071,121.54069,78,"> 20","0-500"
"314",314,2013,8.3,104.8101,5,24.96674,121.54067,42.8,"5 to 10","0-500"
"315",315,2013,3.7,577.9615,6,24.97201,121.54722,41.6,"0 to 5","500-1000"
"316",316,2013,15.6,1756.411,2,24.9832,121.51812,27.3,"10 to 20","1000-2000"
"317",317,2013,13.3,250.631,7,24.96606,121.54297,42,"10 to 20","0-500"
"318",318,2012,15.6,752.7669,2,24.97795,121.53451,37.5,"10 to 20","500-1000"
"319",319,2013,7.1,379.5575,10,24.98343,121.53762,49.8,"5 to 10","0-500"
"320",320,2013,34.6,272.6783,5,24.95562,121.53872,26.9,"> 20","0-500"
"321",321,2012,13.5,4197.349,0,24.93885,121.50383,18.6,"10 to 20","> 2000"
"322",322,2012,16.9,964.7496,4,24.98872,121.53411,37.7,"10 to 20","500-1000"
"323",323,2013,12.9,187.4823,1,24.97388,121.52981,33.1,"10 to 20","0-500"
"324",324,2013,28.6,197.1338,6,24.97631,121.54436,42.5,"> 20","0-500"
"325",325,2012,12.4,1712.632,2,24.96412,121.5167,31.3,"10 to 20","1000-2000"
"326",326,2013,36.6,488.8193,8,24.97015,121.54494,38.1,"> 20","0-500"
"327",327,2013,4.1,56.47425,7,24.95744,121.53711,62.1,"0 to 5","0-500"
"328",328,2013,3.5,757.3377,3,24.97538,121.54971,36.7,"0 to 5","500-1000"
"329",329,2012,15.9,1497.713,3,24.97003,121.51696,23.6,"10 to 20","1000-2000"
"330",330,2013,13.6,4197.349,0,24.93885,121.50383,19.2,"10 to 20","> 2000"
"331",331,2013,32,1156.777,0,24.94935,121.53046,12.8,"> 20","1000-2000"
"332",332,2013,25.6,4519.69,0,24.94826,121.49587,15.6,"> 20","> 2000"
"333",333,2013,39.8,617.7134,2,24.97577,121.53475,39.6,"> 20","500-1000"
"334",334,2012,7.8,104.8101,5,24.96674,121.54067,38.4,"5 to 10","0-500"
"335",335,2012,30,1013.341,5,24.99006,121.5346,22.8,"> 20","1000-2000"
"336",336,2013,27.3,337.6016,6,24.96431,121.54063,36.5,"> 20","0-500"
"337",337,2012,5.1,1867.233,2,24.98407,121.51748,35.6,"5 to 10","1000-2000"
"338",338,2012,31.3,600.8604,5,24.96871,121.54651,30.9,"> 20","500-1000"
"339",339,2012,31.5,258.186,9,24.96867,121.54331,36.3,"> 20","0-500"
"340",340,2013,1.7,329.9747,5,24.98254,121.54395,50.4,"0 to 5","0-500"
"341",341,2013,33.6,270.8895,0,24.97281,121.53265,42.9,"> 20","0-500"
"342",342,2013,13,750.0704,2,24.97371,121.54951,37,"10 to 20","500-1000"
"343",343,2012,5.7,90.45606,9,24.97433,121.5431,53.5,"5 to 10","0-500"
"344",344,2013,33.5,563.2854,8,24.98223,121.53597,46.6,"> 20","500-1000"
"345",345,2013,34.6,3085.17,0,24.998,121.5155,41.2,"> 20","> 2000"
"346",346,2012,0,185.4296,0,24.9711,121.5317,37.9,"0 to 5","0-500"
"347",347,2013,13.2,1712.632,2,24.96412,121.5167,30.8,"10 to 20","1000-2000"
"348",348,2013,17.4,6488.021,1,24.95719,121.47353,11.2,"10 to 20","> 2000"
"349",349,2012,4.6,259.6607,6,24.97585,121.54516,53.7,"0 to 5","0-500"
"350",350,2012,7.8,104.8101,5,24.96674,121.54067,47,"5 to 10","0-500"
"351",351,2013,13.2,492.2313,5,24.96515,121.53737,42.3,"10 to 20","0-500"
"352",352,2012,4,2180.245,3,24.96324,121.51241,28.6,"0 to 5","> 2000"
"353",353,2012,18.4,2674.961,3,24.96143,121.50827,25.7,"10 to 20","> 2000"
"354",354,2013,4.1,2147.376,3,24.96299,121.51284,31.3,"0 to 5","> 2000"
"355",355,2013,12.2,1360.139,1,24.95204,121.54842,30.1,"10 to 20","1000-2000"
"356",356,2013,3.8,383.8624,5,24.98085,121.54391,60.7,"0 to 5","0-500"
"357",357,2012,10.3,211.4473,1,24.97417,121.52999,45.3,"10 to 20","0-500"
"358",358,2013,0,338.9679,9,24.96853,121.54413,44.9,"0 to 5","0-500"
"359",359,2013,1.1,193.5845,6,24.96571,121.54089,45.1,"0 to 5","0-500"
"360",360,2013,5.6,2408.993,0,24.95505,121.55964,24.7,"5 to 10","> 2000"
"361",361,2012,32.9,87.30222,10,24.983,121.54022,47.1,"> 20","0-500"
"362",362,2013,41.4,281.205,8,24.97345,121.54093,63.3,"> 20","0-500"
"363",363,2013,17.1,967.4,4,24.98872,121.53408,40,"10 to 20","500-1000"
"364",364,2013,32.3,109.9455,10,24.98182,121.54086,48,"> 20","0-500"
"365",365,2013,35.3,614.1394,7,24.97913,121.53666,33.1,"> 20","500-1000"
"366",366,2012,17.3,2261.432,4,24.96182,121.51222,29.5,"10 to 20","> 2000"
"367",367,2012,14.2,1801.544,1,24.95153,121.55254,24.8,"10 to 20","1000-2000"
"368",368,2012,15,1828.319,2,24.96464,121.51531,20.9,"10 to 20","1000-2000"
"369",369,2013,18.2,350.8515,1,24.97544,121.53119,43.1,"10 to 20","0-500"
"370",370,2012,20.2,2185.128,3,24.96322,121.51237,22.8,"> 20","> 2000"
"371",371,2012,15.9,289.3248,5,24.98203,121.54348,42.1,"10 to 20","0-500"
"372",372,2013,4.1,312.8963,5,24.95591,121.53956,51.7,"0 to 5","0-500"
"373",373,2013,33.9,157.6052,7,24.96628,121.54196,41.5,"> 20","0-500"
"374",374,2013,0,274.0144,1,24.9748,121.53059,52.2,"0 to 5","0-500"
"375",375,2013,5.4,390.5684,5,24.97937,121.54245,49.5,"5 to 10","0-500"
"376",376,2013,21.7,1157.988,0,24.96165,121.55011,23.8,"> 20","1000-2000"
"377",377,2013,14.7,1717.193,2,24.96447,121.51649,30.5,"10 to 20","1000-2000"
"378",378,2013,3.9,49.66105,8,24.95836,121.53756,56.8,"0 to 5","0-500"
"379",379,2013,37.3,587.8877,8,24.97077,121.54634,37.4,"> 20","500-1000"
"380",380,2013,0,292.9978,6,24.97744,121.54458,69.7,"0 to 5","0-500"
"381",381,2013,14.1,289.3248,5,24.98203,121.54348,53.3,"10 to 20","0-500"
"382",382,2013,8,132.5469,9,24.98298,121.53981,47.3,"5 to 10","0-500"
"383",383,2013,16.3,3529.564,0,24.93207,121.51597,29.3,"10 to 20","> 2000"
"384",384,2012,29.1,506.1144,4,24.97845,121.53889,40.3,"> 20","500-1000"
"385",385,2012,16.1,4066.587,0,24.94297,121.50342,12.9,"10 to 20","> 2000"
"386",386,2013,18.3,82.88643,10,24.983,121.54026,46.6,"10 to 20","0-500"
"387",387,2012,0,185.4296,0,24.9711,121.5317,55.3,"0 to 5","0-500"
"388",388,2013,16.2,2103.555,3,24.96042,121.51462,25.6,"10 to 20","> 2000"
"389",389,2013,10.4,2251.938,4,24.95957,121.51353,27.3,"10 to 20","> 2000"
"390",390,2013,40.9,122.3619,8,24.96756,121.5423,67.7,"> 20","0-500"
"391",391,2013,32.8,377.8302,9,24.97151,121.5435,38.6,"> 20","0-500"
"392",392,2013,6.2,1939.749,1,24.95155,121.55387,31.3,"5 to 10","1000-2000"
"393",393,2013,42.7,443.802,6,24.97927,121.53874,35.3,"> 20","0-500"
"394",394,2013,16.9,967.4,4,24.98872,121.53408,40.3,"10 to 20","500-1000"
"395",395,2013,32.6,4136.271,1,24.95544,121.4963,24.7,"> 20","> 2000"
"396",396,2012,21.2,512.5487,4,24.974,121.53842,42.5,"> 20","500-1000"
"397",397,2012,37.1,918.6357,1,24.97198,121.55063,31.9,"> 20","500-1000"
"398",398,2013,13.1,1164.838,4,24.99156,121.53406,32.2,"10 to 20","1000-2000"
"399",399,2013,14.7,1717.193,2,24.96447,121.51649,23,"10 to 20","1000-2000"
"400",400,2012,12.7,170.1289,1,24.97371,121.52984,37.3,"10 to 20","0-500"
"401",401,2013,26.8,482.7581,5,24.97433,121.53863,35.5,"> 20","0-500"
"402",402,2013,7.6,2175.03,3,24.96305,121.51254,27.7,"5 to 10","> 2000"
"403",403,2012,12.7,187.4823,1,24.97388,121.52981,28.5,"10 to 20","0-500"
"404",404,2012,30.9,161.942,9,24.98353,121.53966,39.7,"> 20","0-500"
"405",405,2013,16.4,289.3248,5,24.98203,121.54348,41.2,"10 to 20","0-500"
"406",406,2012,23,130.9945,6,24.95663,121.53765,37.2,"> 20","0-500"
"407",407,2013,1.9,372.1386,7,24.97293,121.54026,40.5,"0 to 5","0-500"
"408",408,2013,5.2,2408.993,0,24.95505,121.55964,22.3,"5 to 10","> 2000"
"409",409,2013,18.5,2175.744,3,24.9633,121.51243,28.1,"10 to 20","> 2000"
"410",410,2013,13.7,4082.015,0,24.94155,121.50381,15.4,"10 to 20","> 2000"
"411",411,2012,5.6,90.45606,9,24.97433,121.5431,50,"5 to 10","0-500"
"412",412,2013,18.8,390.9696,7,24.97923,121.53986,40.6,"10 to 20","0-500"
"413",413,2013,8.1,104.8101,5,24.96674,121.54067,52.5,"5 to 10","0-500"
"414",414,2013,6.5,90.45606,9,24.97433,121.5431,63.9,"5 to 10","0-500"
